transactionId,amount,currency,merchantCountry,issuerCountry,region,cardType,cardBrand,cardPresence,channel,paymentChannel,mcc,threeDS,eci,authDate,clearingDate,clearingDelayDays,category,condition,feeRate,feeAmount,suggestionType,expectedImpact,difficulty,historicalSuccessRate,label_actualSavings,label_successfulRecommendation
T-99,305,EUR,ES,RO,EU,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-08T10:00:00,2026-05-15T10:00:00,7,Ecom Secure Preferred Credit,3DS authentication,0.025,7.625,ENABLE_3DS,1.7787,LOW,0.67,1.7787,1
T-100,4357,RON,IT,ES,EEA,Credit,MASTERCARD,card_present,POS,POS,5411,True,05,2026-05-11T10:00:00,2026-05-16T10:00:00,5,Standard Credit,clearing time,0.0125,54.4625,OPTIMIZE_CLEARING,11.9767,MEDIUM,0.44,11.9767,0
T-101,2359,EUR,RO,FR,EEA,Credit,MASTERCARD,card_present,POS,POS,5411,True,05,2026-05-07T10:00:00,2026-05-07T10:00:00,0,Ecom Non-Secure Credit,MCC classification,0.003,7.077,FIX_MCC,8.3945,HIGH,0.76,8.3945,1
T-102,1446,RON,FR,ES,EEA,Commercial,VISA,card_not_present,MOTO,MOTO,5812,False,07,2026-05-08T10:00:00,2026-05-08T10:00:00,0,Ecom Non-Secure Credit,clearing time,0.003,4.338,OPTIMIZE_CLEARING,6.328,LOW,0.5,6.328,0
T-103,3941,EUR,IT,ES,EEA,Debit,VISA,card_present,POS,POS,5732,True,05,2026-05-14T10:00:00,2026-05-21T10:00:00,7,Ecom Secure Preferred Credit,MCC classification,0.0185,72.9085,FIX_MCC,4.813,HIGH,0.89,4.813,1
T-104,473,RON,FR,ES,EEA,Credit,MASTERCARD,card_not_present,MOTO,MOTO,5732,False,07,2026-05-05T10:00:00,2026-05-07T10:00:00,2,Standard Credit,3DS authentication,0.003,1.419,ENABLE_3DS,2.2751,HIGH,0.48,2.2751,1
T-105,2500,EUR,ES,RO,EU,Credit,VISA,card_not_present,MOTO,MOTO,5812,True,05,2026-05-03T10:00:00,2026-05-07T10:00:00,4,Standard Credit,MCC classification,0.025,62.5,FIX_MCC,3.7648,MEDIUM,0.72,3.7648,0
T-106,4706,EUR,DE,IT,EEA,Commercial,VISA,card_not_present,MOTO,MOTO,5812,False,07,2026-05-21T10:00:00,2026-05-21T10:00:00,0,Ecom Non-Secure Credit,clearing time,0.015,70.59,OPTIMIZE_CLEARING,21.9629,LOW,0.59,21.9629,1
T-107,3986,EUR,DE,FR,EU,Prepaid,VISA,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-11T10:00:00,2026-05-15T10:00:00,4,Ecom Non-Secure Credit,clearing time,0.003,11.958,OPTIMIZE_CLEARING,11.7099,MEDIUM,0.59,11.7099,1
T-108,1174,RON,FR,ES,EEA,Debit,VISA,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-10T10:00:00,2026-05-13T10:00:00,3,Standard Credit,3DS authentication,0.0185,21.719,ENABLE_3DS,7.1505,MEDIUM,0.62,7.1505,1
T-109,2547,EUR,RO,RO,EEA,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,True,05,2026-05-03T10:00:00,2026-05-06T10:00:00,3,Standard Credit,clearing time,0.0185,47.1195,OPTIMIZE_CLEARING,8.5877,LOW,0.85,8.5877,0
T-110,3550,EUR,RO,ES,EU,Prepaid,MASTERCARD,card_present,POS,POS,5732,False,07,2026-05-12T10:00:00,2026-05-19T10:00:00,7,Ecom Secure Preferred Credit,3DS authentication,0.015,53.25,ENABLE_3DS,20.6954,HIGH,0.59,20.6954,1
T-111,4524,EUR,ES,FR,EU,Debit,MASTERCARD,card_not_present,MOTO,MOTO,5812,False,07,2026-05-20T10:00:00,2026-05-20T10:00:00,0,Ecom Non-Secure Credit,clearing time,0.003,13.572,OPTIMIZE_CLEARING,22.2818,LOW,0.33,22.2818,1
T-112,2748,EUR,DE,IT,EEA,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5812,False,07,2026-05-15T10:00:00,2026-05-16T10:00:00,1,Standard Credit,clearing time,0.0185,50.838,OPTIMIZE_CLEARING,12.859,MEDIUM,0.61,12.859,0
T-113,156,EUR,ES,ES,EU,Credit,MASTERCARD,card_present,POS,POS,5732,False,07,2026-05-04T10:00:00,2026-05-07T10:00:00,3,Standard Credit,clearing time,0.0185,2.886,OPTIMIZE_CLEARING,0.456,HIGH,0.77,0.456,0
T-114,3134,RON,DE,RO,EEA,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5732,False,07,2026-05-08T10:00:00,2026-05-08T10:00:00,0,Ecom Secure Preferred Credit,3DS authentication,0.0185,57.979,ENABLE_3DS,27.3944,HIGH,0.43,27.3944,1
T-115,4130,EUR,FR,DE,EEA,Prepaid,MASTERCARD,card_present,POS,POS,5812,False,07,2026-05-02T10:00:00,2026-05-07T10:00:00,5,Standard Credit,MCC classification,0.003,12.39,FIX_MCC,10.5565,HIGH,0.72,10.5565,1
T-116,2185,EUR,DE,IT,EEA,Commercial,MASTERCARD,card_present,POS,POS,5812,False,07,2026-05-07T10:00:00,2026-05-08T10:00:00,1,Standard Credit,MCC classification,0.0125,27.3125,FIX_MCC,5.8433,MEDIUM,0.49,5.8433,0
T-117,4717,RON,FR,RO,EEA,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5812,False,07,2026-05-13T10:00:00,2026-05-16T10:00:00,3,Ecom Secure Preferred Credit,MCC classification,0.0125,58.9625,FIX_MCC,18.2257,LOW,0.43,18.2257,0
T-118,4432,RON,ES,DE,EU,Credit,VISA,card_not_present,MOTO,MOTO,5411,True,05,2026-05-09T10:00:00,2026-05-10T10:00:00,1,Ecom Secure Preferred Credit,clearing time,0.002,8.864,OPTIMIZE_CLEARING,17.05,HIGH,0.61,17.05,0
T-119,1146,EUR,IT,DE,EEA,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5812,False,07,2026-05-06T10:00:00,2026-05-09T10:00:00,3,Ecom Non-Secure Credit,3DS authentication,0.025,28.65,ENABLE_3DS,9.9417,LOW,0.72,9.9417,1
T-120,1922,EUR,IT,DE,EEA,Credit,VISA,card_not_present,MOTO,MOTO,5411,True,05,2026-05-02T10:00:00,2026-05-03T10:00:00,1,Standard Credit,MCC classification,0.015,28.83,FIX_MCC,7.009,HIGH,0.37,7.009,0
T-121,2764,EUR,DE,RO,EEA,Debit,MASTERCARD,card_present,POS,POS,5812,False,07,2026-05-21T10:00:00,2026-05-25T10:00:00,4,Ecom Secure Preferred Credit,clearing time,0.0185,51.134,OPTIMIZE_CLEARING,9.6235,HIGH,0.42,9.6235,0
T-122,2781,EUR,RO,IT,EU,Debit,VISA,card_not_present,MOTO,MOTO,5411,False,07,2026-05-07T10:00:00,2026-05-08T10:00:00,1,Ecom Secure Preferred Credit,clearing time,0.0185,51.4485,OPTIMIZE_CLEARING,12.7048,LOW,0.3,12.7048,1
T-123,3162,RON,FR,FR,EU,Credit,VISA,card_present,POS,POS,5411,False,07,2026-05-09T10:00:00,2026-05-11T10:00:00,2,Ecom Secure Preferred Credit,3DS authentication,0.0125,39.525,ENABLE_3DS,21.8567,LOW,0.56,21.8567,1
T-124,4136,RON,IT,DE,EEA,Prepaid,MASTERCARD,card_present,POS,POS,5812,True,05,2026-05-04T10:00:00,2026-05-09T10:00:00,5,Standard Credit,MCC classification,0.0125,51.7,FIX_MCC,8.6965,MEDIUM,0.79,8.6965,0
T-125,1809,EUR,RO,ES,EU,Credit,VISA,card_not_present,MOTO,MOTO,5812,False,07,2026-05-20T10:00:00,2026-05-27T10:00:00,7,Standard Credit,3DS authentication,0.002,3.618,ENABLE_3DS,11.9892,LOW,0.41,11.9892,1
T-126,4282,EUR,DE,ES,EEA,Commercial,VISA,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-07T10:00:00,2026-05-12T10:00:00,5,Ecom Secure Preferred Credit,clearing time,0.0185,79.217,OPTIMIZE_CLEARING,14.8435,HIGH,0.82,14.8435,1
T-127,198,EUR,RO,ES,EU,Credit,MASTERCARD,card_present,POS,POS,5732,False,07,2026-05-01T10:00:00,2026-05-06T10:00:00,5,Ecom Secure Preferred Credit,clearing time,0.003,0.594,OPTIMIZE_CLEARING,0.7395,MEDIUM,0.42,0.7395,0
T-128,1129,EUR,IT,RO,EU,Prepaid,VISA,card_not_present,MOTO,MOTO,5732,False,07,2026-05-21T10:00:00,2026-05-24T10:00:00,3,Standard Credit,MCC classification,0.0125,14.1125,FIX_MCC,4.4918,MEDIUM,0.64,4.4918,1
T-129,1844,EUR,ES,IT,EU,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-10T10:00:00,2026-05-13T10:00:00,3,Ecom Non-Secure Credit,3DS authentication,0.025,46.1,ENABLE_3DS,14.006,MEDIUM,0.42,14.006,1
T-130,944,RON,RO,ES,EU,Commercial,VISA,card_not_present,MOTO,MOTO,5732,False,07,2026-05-14T10:00:00,2026-05-18T10:00:00,4,Standard Credit,3DS authentication,0.002,1.888,ENABLE_3DS,4.9119,LOW,0.56,4.9119,1
T-131,1939,EUR,DE,FR,EU,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-02T10:00:00,2026-05-03T10:00:00,1,Ecom Secure Preferred Credit,MCC classification,0.0185,35.8715,FIX_MCC,7.7181,LOW,0.66,7.7181,0
T-132,4866,EUR,ES,FR,EEA,Commercial,VISA,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-21T10:00:00,2026-05-26T10:00:00,5,Ecom Secure Preferred Credit,MCC classification,0.015,72.99,FIX_MCC,12.9803,LOW,0.79,12.9803,0
T-133,3899,EUR,RO,ES,EEA,Commercial,VISA,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-10T10:00:00,2026-05-17T10:00:00,7,Ecom Non-Secure Credit,3DS authentication,0.025,97.475,ENABLE_3DS,18.4101,MEDIUM,0.43,18.4101,1
T-134,667,EUR,ES,ES,EU,Credit,VISA,card_present,POS,POS,5812,False,07,2026-05-03T10:00:00,2026-05-07T10:00:00,4,Standard Credit,clearing time,0.025,16.675,OPTIMIZE_CLEARING,2.9936,HIGH,0.66,2.9936,0
T-135,3947,RON,IT,DE,EU,Commercial,VISA,card_present,POS,POS,5812,False,07,2026-05-10T10:00:00,2026-05-10T10:00:00,0,Ecom Secure Preferred Credit,3DS authentication,0.003,11.841,ENABLE_3DS,34.2828,MEDIUM,0.55,34.2828,1
T-136,4391,RON,IT,FR,EU,Prepaid,MASTERCARD,card_present,POS,POS,5411,False,07,2026-05-10T10:00:00,2026-05-12T10:00:00,2,Ecom Non-Secure Credit,MCC classification,0.0125,54.8875,FIX_MCC,11.1463,HIGH,0.86,11.1463,1
T-137,1215,EUR,DE,DE,EEA,Debit,MASTERCARD,card_present,POS,POS,5812,False,07,2026-05-18T10:00:00,2026-05-22T10:00:00,4,Ecom Non-Secure Credit,3DS authentication,0.0185,22.4775,ENABLE_3DS,9.2341,MEDIUM,0.66,9.2341,1
T-138,2785,RON,ES,IT,EU,Credit,VISA,card_present,POS,POS,5732,True,05,2026-05-21T10:00:00,2026-05-26T10:00:00,5,Standard Credit,clearing time,0.015,41.775,OPTIMIZE_CLEARING,9.4202,LOW,0.8,9.4202,1
T-139,3398,RON,ES,IT,EEA,Credit,MASTERCARD,card_not_present,MOTO,MOTO,5812,False,07,2026-05-08T10:00:00,2026-05-08T10:00:00,0,Ecom Secure Preferred Credit,3DS authentication,0.025,84.95,ENABLE_3DS,16.158,LOW,0.3,16.158,1
T-140,4539,EUR,DE,RO,EU,Debit,VISA,card_not_present,eCommerce,eCommerce,5732,True,05,2026-05-01T10:00:00,2026-05-05T10:00:00,4,Standard Credit,clearing time,0.025,113.475,OPTIMIZE_CLEARING,12.8191,HIGH,0.46,12.8191,1
T-141,2923,EUR,RO,RO,EU,Commercial,MASTERCARD,card_present,POS,POS,5411,True,05,2026-05-03T10:00:00,2026-05-05T10:00:00,2,Standard Credit,clearing time,0.015,43.845,OPTIMIZE_CLEARING,9.871,MEDIUM,0.34,9.871,0
T-142,97,RON,DE,DE,EEA,Prepaid,VISA,card_not_present,eCommerce,eCommerce,5732,True,05,2026-05-03T10:00:00,2026-05-06T10:00:00,3,Standard Credit,MCC classification,0.015,1.455,FIX_MCC,0.2847,MEDIUM,0.88,0.2847,1
T-143,4636,EUR,RO,FR,EU,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-06T10:00:00,2026-05-13T10:00:00,7,Standard Credit,MCC classification,0.0125,57.95,FIX_MCC,4.8538,MEDIUM,0.55,4.8538,0
T-144,1166,EUR,DE,RO,EEA,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5732,True,05,2026-05-03T10:00:00,2026-05-07T10:00:00,4,Standard Credit,MCC classification,0.025,29.15,FIX_MCC,4.5742,MEDIUM,0.81,4.5742,0
T-145,3710,EUR,DE,RO,EU,Prepaid,VISA,card_not_present,eCommerce,eCommerce,5411,True,05,2026-05-12T10:00:00,2026-05-16T10:00:00,4,Standard Credit,clearing time,0.015,55.65,OPTIMIZE_CLEARING,12.2265,HIGH,0.4,12.2265,1
T-146,3211,EUR,RO,DE,EU,Debit,MASTERCARD,card_present,POS,POS,5411,False,07,2026-05-04T10:00:00,2026-05-04T10:00:00,0,Standard Credit,clearing time,0.002,6.422,OPTIMIZE_CLEARING,15.5055,HIGH,0.63,15.5055,1
T-147,866,EUR,IT,RO,EEA,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5732,False,07,2026-05-12T10:00:00,2026-05-16T10:00:00,4,Standard Credit,3DS authentication,0.002,1.732,ENABLE_3DS,6.0487,HIGH,0.89,6.0487,1
T-148,2008,EUR,IT,DE,EU,Debit,MASTERCARD,card_not_present,MOTO,MOTO,5411,False,07,2026-05-06T10:00:00,2026-05-11T10:00:00,5,Ecom Secure Preferred Credit,MCC classification,0.015,30.12,FIX_MCC,3.0291,MEDIUM,0.61,3.0291,1
T-149,650,RON,DE,FR,EU,Commercial,MASTERCARD,card_present,POS,POS,5812,False,07,2026-05-08T10:00:00,2026-05-13T10:00:00,5,Ecom Secure Preferred Credit,clearing time,0.025,16.25,OPTIMIZE_CLEARING,2.2668,MEDIUM,0.59,2.2668,0
T-150,3547,EUR,DE,IT,EEA,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5812,False,07,2026-05-05T10:00:00,2026-05-07T10:00:00,2,Ecom Non-Secure Credit,MCC classification,0.0125,44.3375,FIX_MCC,9.9658,MEDIUM,0.54,9.9658,0
T-151,3238,EUR,DE,IT,EEA,Credit,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-19T10:00:00,2026-05-20T10:00:00,1,Ecom Secure Preferred Credit,clearing time,0.0185,59.903,OPTIMIZE_CLEARING,16.1634,LOW,0.71,16.1634,0
T-152,2002,EUR,ES,IT,EEA,Credit,MASTERCARD,card_not_present,MOTO,MOTO,5812,False,07,2026-05-05T10:00:00,2026-05-10T10:00:00,5,Standard Credit,clearing time,0.015,30.03,OPTIMIZE_CLEARING,8.7432,HIGH,0.71,8.7432,0
T-153,716,EUR,FR,IT,EU,Credit,VISA,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-12T10:00:00,2026-05-13T10:00:00,1,Ecom Non-Secure Credit,3DS authentication,0.025,17.9,ENABLE_3DS,5.0574,HIGH,0.79,5.0574,1
T-154,4591,EUR,RO,IT,EU,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5732,True,05,2026-05-19T10:00:00,2026-05-20T10:00:00,1,Ecom Non-Secure Credit,MCC classification,0.015,68.865,FIX_MCC,9.7437,HIGH,0.39,9.7437,1
T-155,2575,EUR,FR,RO,EEA,Credit,VISA,card_present,POS,POS,5732,False,07,2026-05-07T10:00:00,2026-05-11T10:00:00,4,Ecom Secure Preferred Credit,clearing time,0.015,38.625,OPTIMIZE_CLEARING,7.8406,HIGH,0.37,7.8406,0
T-156,1366,RON,IT,DE,EU,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5732,False,07,2026-05-17T10:00:00,2026-05-18T10:00:00,1,Standard Credit,MCC classification,0.0185,25.271,FIX_MCC,2.0222,HIGH,0.87,2.0222,1
T-157,3702,RON,ES,DE,EEA,Prepaid,VISA,card_present,POS,POS,5411,True,05,2026-05-13T10:00:00,2026-05-13T10:00:00,0,Ecom Non-Secure Credit,MCC classification,0.025,92.55,FIX_MCC,6.0875,MEDIUM,0.74,6.0875,1
T-158,4029,EUR,IT,ES,EU,Prepaid,VISA,card_not_present,MOTO,MOTO,5812,False,07,2026-05-11T10:00:00,2026-05-15T10:00:00,4,Ecom Non-Secure Credit,MCC classification,0.015,60.435,FIX_MCC,11.4179,MEDIUM,0.38,11.4179,0
T-159,2521,EUR,ES,DE,EEA,Commercial,VISA,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-12T10:00:00,2026-05-17T10:00:00,5,Standard Credit,3DS authentication,0.003,7.563,ENABLE_3DS,16.5229,HIGH,0.75,16.5229,1
T-160,1439,EUR,RO,IT,EU,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-16T10:00:00,2026-05-18T10:00:00,2,Standard Credit,MCC classification,0.003,4.317,FIX_MCC,2.2467,HIGH,0.62,2.2467,1
T-161,4048,EUR,RO,FR,EU,Prepaid,VISA,card_not_present,MOTO,MOTO,5411,True,05,2026-05-15T10:00:00,2026-05-18T10:00:00,3,Standard Credit,clearing time,0.003,12.144,OPTIMIZE_CLEARING,9.1,HIGH,0.8,9.1,0
T-162,4077,EUR,ES,DE,EEA,Credit,VISA,card_not_present,MOTO,MOTO,5411,True,05,2026-05-04T10:00:00,2026-05-08T10:00:00,4,Ecom Non-Secure Credit,MCC classification,0.002,8.154,FIX_MCC,7.3535,MEDIUM,0.47,7.3535,1
T-163,732,RON,ES,DE,EU,Debit,VISA,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-08T10:00:00,2026-05-09T10:00:00,1,Ecom Secure Preferred Credit,clearing time,0.025,18.3,OPTIMIZE_CLEARING,2.7551,HIGH,0.48,2.7551,1
T-164,4433,RON,DE,IT,EU,Prepaid,VISA,card_present,POS,POS,5812,False,07,2026-05-10T10:00:00,2026-05-12T10:00:00,2,Ecom Non-Secure Credit,3DS authentication,0.0185,82.0105,ENABLE_3DS,23.6577,LOW,0.4,23.6577,1
T-165,2658,EUR,IT,IT,EEA,Credit,VISA,card_not_present,MOTO,MOTO,5411,False,07,2026-05-13T10:00:00,2026-05-16T10:00:00,3,Standard Credit,3DS authentication,0.003,7.974,ENABLE_3DS,18.306,HIGH,0.48,18.306,1
T-166,3043,EUR,RO,ES,EEA,Debit,MASTERCARD,card_present,POS,POS,5732,False,07,2026-05-11T10:00:00,2026-05-15T10:00:00,4,Ecom Secure Preferred Credit,clearing time,0.002,6.086,OPTIMIZE_CLEARING,14.0183,MEDIUM,0.51,14.0183,0
T-167,2343,RON,RO,IT,EU,Credit,VISA,card_not_present,MOTO,MOTO,5411,True,05,2026-05-19T10:00:00,2026-05-20T10:00:00,1,Ecom Secure Preferred Credit,clearing time,0.0185,43.3455,OPTIMIZE_CLEARING,10.6777,LOW,0.94,10.6777,1
T-168,3524,EUR,RO,FR,EEA,Credit,MASTERCARD,card_not_present,MOTO,MOTO,5812,False,07,2026-05-05T10:00:00,2026-05-10T10:00:00,5,Standard Credit,3DS authentication,0.0125,44.05,ENABLE_3DS,16.8972,LOW,0.33,16.8972,1
T-169,2522,RON,IT,RO,EU,Debit,MASTERCARD,card_not_present,MOTO,MOTO,5732,True,05,2026-05-08T10:00:00,2026-05-11T10:00:00,3,Ecom Non-Secure Credit,MCC classification,0.025,63.05,FIX_MCC,3.212,HIGH,0.52,3.212,0
T-170,1007,RON,FR,FR,EEA,Debit,MASTERCARD,card_not_present,MOTO,MOTO,5732,True,05,2026-05-05T10:00:00,2026-05-08T10:00:00,3,Standard Credit,clearing time,0.002,2.014,OPTIMIZE_CLEARING,2.7056,HIGH,0.39,2.7056,0
T-171,4365,EUR,ES,IT,EU,Credit,VISA,card_not_present,eCommerce,eCommerce,5732,True,05,2026-05-20T10:00:00,2026-05-25T10:00:00,5,Ecom Non-Secure Credit,MCC classification,0.003,13.095,FIX_MCC,10.1281,HIGH,0.77,10.1281,0
T-172,2899,RON,FR,DE,EU,Commercial,MASTERCARD,card_present,POS,POS,5812,False,07,2026-05-05T10:00:00,2026-05-06T10:00:00,1,Ecom Non-Secure Credit,clearing time,0.0125,36.2375,OPTIMIZE_CLEARING,11.4043,LOW,0.62,11.4043,0
T-173,943,RON,FR,FR,EU,Commercial,MASTERCARD,card_present,POS,POS,5411,False,07,2026-05-21T10:00:00,2026-05-25T10:00:00,4,Standard Credit,3DS authentication,0.002,1.886,ENABLE_3DS,6.2629,HIGH,0.41,6.2629,1
T-174,3878,RON,RO,IT,EEA,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-19T10:00:00,2026-05-19T10:00:00,0,Ecom Secure Preferred Credit,3DS authentication,0.002,7.756,ENABLE_3DS,20.5958,LOW,0.72,20.5958,1
T-175,4424,EUR,IT,ES,EU,Prepaid,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-09T10:00:00,2026-05-09T10:00:00,0,Ecom Non-Secure Credit,MCC classification,0.0125,55.3,FIX_MCC,5.4728,LOW,0.46,5.4728,0
T-176,3579,RON,RO,RO,EU,Credit,VISA,card_present,POS,POS,5411,False,07,2026-05-20T10:00:00,2026-05-24T10:00:00,4,Ecom Secure Preferred Credit,3DS authentication,0.002,7.158,ENABLE_3DS,19.8507,HIGH,0.64,19.8507,1
T-177,2143,RON,RO,FR,EEA,Prepaid,VISA,card_present,POS,POS,5411,False,07,2026-05-05T10:00:00,2026-05-10T10:00:00,5,Standard Credit,3DS authentication,0.0125,26.7875,ENABLE_3DS,16.4254,HIGH,0.71,16.4254,1
T-178,4084,RON,FR,RO,EU,Debit,VISA,card_not_present,MOTO,MOTO,5732,False,07,2026-05-12T10:00:00,2026-05-12T10:00:00,0,Ecom Non-Secure Credit,clearing time,0.015,61.26,OPTIMIZE_CLEARING,18.6969,LOW,0.33,18.6969,0
T-179,3001,EUR,DE,IT,EEA,Prepaid,VISA,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-06T10:00:00,2026-05-13T10:00:00,7,Ecom Secure Preferred Credit,clearing time,0.002,6.002,OPTIMIZE_CLEARING,10.9794,LOW,0.63,10.9794,1
T-180,451,EUR,FR,FR,EEA,Credit,MASTERCARD,card_not_present,eCommerce,eCommerce,5732,False,07,2026-05-17T10:00:00,2026-05-17T10:00:00,0,Ecom Secure Preferred Credit,3DS authentication,0.015,6.765,ENABLE_3DS,1.9594,LOW,0.49,1.9594,1
T-181,2509,RON,DE,RO,EEA,Credit,VISA,card_not_present,MOTO,MOTO,5812,True,05,2026-05-08T10:00:00,2026-05-11T10:00:00,3,Ecom Secure Preferred Credit,MCC classification,0.0125,31.3625,FIX_MCC,6.9627,HIGH,0.85,6.9627,1
T-182,98,RON,IT,IT,EU,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5732,True,05,2026-05-13T10:00:00,2026-05-20T10:00:00,7,Ecom Non-Secure Credit,clearing time,0.025,2.45,OPTIMIZE_CLEARING,0.4098,LOW,0.88,0.4098,0
T-183,4277,EUR,RO,ES,EU,Commercial,VISA,card_not_present,MOTO,MOTO,5732,True,05,2026-05-12T10:00:00,2026-05-15T10:00:00,3,Ecom Secure Preferred Credit,clearing time,0.025,106.925,OPTIMIZE_CLEARING,9.6434,MEDIUM,0.85,9.6434,0
T-184,3239,RON,ES,RO,EU,Credit,VISA,card_not_present,MOTO,MOTO,5411,True,05,2026-05-11T10:00:00,2026-05-13T10:00:00,2,Ecom Secure Preferred Credit,MCC classification,0.015,48.585,FIX_MCC,5.8816,MEDIUM,0.56,5.8816,0
T-185,4410,RON,FR,ES,EU,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5732,True,05,2026-05-15T10:00:00,2026-05-17T10:00:00,2,Ecom Non-Secure Credit,clearing time,0.015,66.15,OPTIMIZE_CLEARING,12.3261,HIGH,0.46,12.3261,0
T-186,2934,EUR,IT,ES,EU,Credit,MASTERCARD,card_not_present,MOTO,MOTO,5732,True,05,2026-05-02T10:00:00,2026-05-07T10:00:00,5,Ecom Non-Secure Credit,clearing time,0.0125,36.675,OPTIMIZE_CLEARING,8.158,LOW,0.31,8.158,0
T-187,1840,RON,ES,ES,EEA,Credit,VISA,card_not_present,eCommerce,eCommerce,5732,False,07,2026-05-13T10:00:00,2026-05-15T10:00:00,2,Ecom Non-Secure Credit,3DS authentication,0.025,46.0,ENABLE_3DS,13.1587,HIGH,0.59,13.1587,1
T-188,1075,EUR,IT,IT,EU,Commercial,MASTERCARD,card_present,POS,POS,5732,False,07,2026-05-04T10:00:00,2026-05-04T10:00:00,0,Ecom Secure Preferred Credit,3DS authentication,0.015,16.125,ENABLE_3DS,4.5722,LOW,0.89,4.5722,1
T-189,2272,EUR,IT,ES,EEA,Credit,VISA,card_present,POS,POS,5411,False,07,2026-05-05T10:00:00,2026-05-05T10:00:00,0,Ecom Secure Preferred Credit,clearing time,0.0185,42.032,OPTIMIZE_CLEARING,8.7643,LOW,0.57,8.7643,0
T-190,4327,EUR,IT,ES,EEA,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5411,False,07,2026-05-18T10:00:00,2026-05-25T10:00:00,7,Ecom Secure Preferred Credit,3DS authentication,0.002,8.654,ENABLE_3DS,38.7137,LOW,0.32,38.7137,1
T-191,4911,RON,DE,RO,EU,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-09T10:00:00,2026-05-09T10:00:00,0,Standard Credit,3DS authentication,0.015,73.665,ENABLE_3DS,32.6442,LOW,0.8,32.6442,1
T-192,1817,RON,FR,ES,EU,Debit,MASTERCARD,card_present,POS,POS,5812,False,07,2026-05-12T10:00:00,2026-05-19T10:00:00,7,Ecom Secure Preferred Credit,MCC classification,0.003,5.451,FIX_MCC,2.7769,LOW,0.62,2.7769,1
T-193,759,RON,FR,ES,EU,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-20T10:00:00,2026-05-21T10:00:00,1,Ecom Non-Secure Credit,3DS authentication,0.002,1.518,ENABLE_3DS,5.0339,MEDIUM,0.34,5.0339,1
T-194,1230,EUR,IT,ES,EU,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5411,True,05,2026-05-05T10:00:00,2026-05-12T10:00:00,7,Ecom Non-Secure Credit,MCC classification,0.002,2.46,FIX_MCC,4.3535,LOW,0.78,4.3535,1
T-195,3598,RON,IT,FR,EEA,Debit,VISA,card_present,POS,POS,5812,True,05,2026-05-21T10:00:00,2026-05-23T10:00:00,2,Ecom Non-Secure Credit,MCC classification,0.003,10.794,FIX_MCC,11.2313,HIGH,0.92,11.2313,1
T-196,3227,EUR,DE,FR,EU,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,True,05,2026-05-06T10:00:00,2026-05-10T10:00:00,4,Ecom Non-Secure Credit,MCC classification,0.0125,40.3375,FIX_MCC,12.1436,HIGH,0.88,12.1436,0
T-197,746,RON,RO,FR,EEA,Credit,VISA,card_not_present,MOTO,MOTO,5732,True,05,2026-05-21T10:00:00,2026-05-26T10:00:00,5,Ecom Secure Preferred Credit,MCC classification,0.0125,9.325,FIX_MCC,1.7456,MEDIUM,0.78,1.7456,1
